period(s),gaslimit,tps(tx/s),latency(ms),contracttime(μs),dbreaadtime(μs),dbwritetime(μs),blockcommittime(ms),readtime(ms),blockpropagationtime(ms)
7,20550000,163.2653061,16300.4357,4.294414608,4379.271065,10065.25038,4992.857143,4.83ms,blockpropagation
7,20700000,163.2653061,16273.97413,4.297099893,3940.819864,12752.58738,4992.285714,5.7ms,blockpropagation
7,20850000,163.2653061,16356.35246,4.295703545,3351.788346,9330.434125,4992.857143,5.38ms,blockpropagation
7,21000000,163.2653061,16361.42482,4.295918367,3542.324667,8668.219875,4992.571429,5.51ms,blockpropagation
7,21150000,163.2653061,16259.13048,4.300429646,3397.509143,11142.16463,4993.571429,4.64ms,blockpropagation
7,21300000,163.2653061,16331.1626,4.292588614,3783.807962,10529.21688,4992.571429,3.95ms,blockpropagation
7,21450000,163.2653061,16284.38745,4.296455424,4382.706872,10394.024,4991.857143,4.92ms,blockpropagation
7,21600000,163.2653061,16333.21435,4.295596133,3865.875244,10347.672,4993.142857,5.69ms,blockpropagation
7,21750000,163.2653061,16298.12323,4.296670247,3953.542895,10214.50138,4991.142857,4.02ms,blockpropagation
7,21900000,163.2653061,16309.04674,4.296455424,3583.614732,10413.4605,4993,4.58ms,blockpropagation
7,22050000,163.2653061,16322.77115,4.296670247,4020.43663,10363.19538,4993.142857,3.98ms,blockpropagation
7,22200000,163.2653061,16321.93201,4.297314715,3748.049275,12764.44712,4992.428571,5.21ms,blockpropagation
7,22350000,163.2653061,16313.67442,4.296025779,3298.209711,10248.7135,4992.142857,4.68ms,blockpropagation
7,22500000,163.2653061,16287.04062,4.296562836,4338.221,10434.10287,4992.571429,5.35ms,blockpropagation
