period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
16,24000000,4.53ms,8607.50911111111µs,3557.8391904761907µs,4989.666666666667ms,71.42857143,16774.557799442897ms,3.012032660077353ms
16,25500000,5.25ms,8151.5344444444445µs,3190.9100178571434µs,4988.833333333333ms,71.42857143,17512.369605022235ms,3.0118177911474002ms
16,27000000,4.84ms,8241.504111111111µs,3194.778846153846µs,4990.5ms,71.42857143,16748.866679756527ms,3.0118177911474002ms
16,28500000,4.47ms,8532.258666666667µs,3530.4017708333336µs,4988.333333333333ms,71.42857143,16076.031547889243ms,3.011602922217447ms
16,30000000,4.85ms,9755.147555555557µs,3532.509255813953µs,4989.833333333333ms,71.42857143,17122.09479599316ms,3.01299957026214ms
17,15000000,4.82ms,8916.725999999999µs,3490.072980392157µs,4990ms,67.22689076,16901.846363445817ms,3.0119252256123765ms
17,16500000,4.74ms,8804.917000000001µs,3707.1758431372546µs,4990ms,67.22689076,16800.52148826104ms,3.013536742587022ms
17,18000000,5.62ms,8376.989333333333µs,3385.024240740741µs,4990.5ms,67.22689076,16889.643120110446ms,3.011710356682424ms
17,19500000,4.77ms,7960.677000000001µs,3525.061909090909µs,4979ms,67.22689076,16800.72337006428ms,3.012032660077353ms
17,21000000,4.32ms,8859.043333333333µs,3118.727177777778µs,4989ms,67.22689076,17557.929598051156ms,3.0118177911474002ms
17,22500000,4.69ms,8974.067777777778µs,3649.154604166666µs,4990.166666666667ms,67.22689076,16421.262101779066ms,3.01299957026214ms
17,24000000,4.38ms,8707.598666666667µs,4113.741509433962µs,4986.833333333333ms,67.22689076,17515.025319508077ms,3.013859045981951ms
17,25500000,5.76ms,10676.39377777778µs,3424.671615384616µs,4989.666666666667ms,67.22689076,17150.353246167717ms,3.0123549634722817ms
17,27000000,5.21ms,9020.549666666666µs,4350.761803571429µs,4984.833333333333ms,67.22689076,17951.13849908481ms,3.0149333906317146ms
17,28500000,5.05ms,9142.12811111111µs,3792.462215686274µs,4985.5ms,67.22689076,17107.489493201483ms,3.02009024495058ms
17,30000000,5.16ms,8804.854333333333µs,3590.3382045454546µs,4991ms,67.22689076,16332.751365523269ms,3.012032660077353ms
18,15000000,4.87ms,9109.351000000002µs,3615.3586666666665µs,4988.666666666667ms,63.49206349,16480.362682215742ms,3.0139664804469275ms
